Sample	Left Trimmmed	Right Trimmmed
mouse_110_WT_C	0.0004189262592258046	0.00027165058091173757
mouse_110_WT_NC	0.00044115739421152233	0.0002803924653996397
mouse_148_WT_C	0.00047844709555532186	0.0002956244890106058
mouse_148_WT_NC	0.00043430555224776787	0.0003053931957377423
mouse_158_WT_C	0.00047546965894817566	0.0004896158636772123
mouse_158_WT_NC	0.00044891344763903034	0.00032890518013537536
mouse_183_KOMIR150_C	0.00036866673217221654	0.00044175203161651334
mouse_183_KOMIR150_NC	0.00038551431838446446	0.0005196884193908221
mouse_198_KOMIR150_C	0.00044539332809271796	0.000275679631700893
mouse_198_KOMIR150_NC	0.0004933288785600144	0.0003730444073460405
mouse_206_KOMIR150_C	0.000413056721731662	0.0005478436519809411
mouse_206_KOMIR150_NC	0.00029241491413422964	0.0006163973474079499
mouse_2670_KOTet3_C	0.0004381533073564736	0.0003203129586892248
mouse_2670_KOTet3_NC	0.00044246844447889564	0.00027169115011862013
mouse_7530_KOTet3_C	0.00042825833698333733	0.0002569202832328088
mouse_7530_KOTet3_NC	0.0004636466173318405	0.0004948161378247374
mouse_7531_KOTet3_C	0.0004518115308774172	0.00036383502816531287
mouse_7532_WT_NC	0.0004395016591358676	0.0003790661085282298
mouse_H510_WT_C	0.0004558608076700965	0.0003823236284511436
mouse_H510_WT_NC	0.00046099146078891636	0.00028417499062048093
mouse_H514_WT_C	0.0004456835699442731	0.0002818349133592948
mouse_H514_WT_NC	0.00041683287502217506	0.0005399992098027942
