Sample	% R1 Q30	% R2 Q30	GC Content	N Content
mouse_110_WT_C	91.16757079207922	83.09075841584158	52.88805482673268	0.001008910891089109
mouse_110_WT_NC	91.5163537128713	88.455825	51.46489752475247	0.0008201732673267327
mouse_148_WT_C	92.90475866336634	87.35594851485149	51.351465594059405	0.0007143564356435644
mouse_148_WT_NC	90.44285495049505	86.28838044554456	52.16506683168317	0.0011013613861386138
mouse_158_WT_C	92.70635247524753	88.80808465346534	50.89486534653466	0.0008008663366336634
mouse_158_WT_NC	92.39682227722771	86.51966336633663	52.31776955445545	0.0008149752475247525
mouse_183_KOMIR150_C	93.04312896039603	87.39092227722772	51.88921695544555	0.0009032178217821782
mouse_183_KOMIR150_NC	91.41087945544555	82.09897252475248	54.16565309405941	0.0009273514851485149
mouse_198_KOMIR150_C	93.0644556930693	88.10291113861386	51.71132821782179	0.0011222772277227724
mouse_198_KOMIR150_NC	92.51285816831684	87.89437599009901	51.53190705445545	0.000711509900990099
mouse_206_KOMIR150_C	90.55224628712871	72.26944727722773	56.31816683168317	0.0009327970297029703
mouse_206_KOMIR150_NC	86.26719034653465	77.52182722772277	55.99042623762376	0.0008681930693069308
mouse_2670_KOTet3_C	92.58784183168316	87.85040767326733	51.26999665841584	0.0006733910891089109
mouse_2670_KOTet3_NC	92.35618118811881	88.31103910891089	51.13247982673267	0.0006844059405940594
mouse_7530_KOTet3_C	92.69071014851485	86.4508358910891	51.61994975247525	0.0008956683168316831
mouse_7530_KOTet3_NC	91.72288910891089	86.41862648514852	51.112510643564356	0.0007886138613861387
mouse_7531_KOTet3_C	91.14759133663367	85.93828811881188	51.24187561881188	0.0006938118811881188
mouse_7532_WT_NC	93.16104405940594	87.70471658415842	51.312363985148515	0.0010245049504950495
mouse_H510_WT_C	91.97848193069306	85.62163217821782	52.15529245049505	0.0009794554455445545
mouse_H510_WT_NC	91.96955247524753	88.70319925742575	50.981544554455446	0.0010832920792079208
mouse_H514_WT_C	91.1503410891089	83.9521108910891	52.63345804455446	0.0009017326732673268
mouse_H514_WT_NC	92.61488663366336	86.31204158415842	51.25278193069307	0.0011485148514851485
