Sample	Left Trimmmed	Right Trimmmed
mouse_110_WT_C	0.01985558768543714	0.020349144362248175
mouse_110_WT_NC	0.01831063910381786	0.018447381448036492
mouse_148_WT_C	0.018283152793633458	0.017428354737443235
mouse_148_WT_NC	0.018047936114083382	0.019046001481787547
mouse_158_WT_C	0.01888075598421215	0.018426184336640207
mouse_158_WT_NC	0.01876914306664064	0.019882413816024583
mouse_183_KOMIR150_C	0.017373992703016674	0.01730522687409494
mouse_183_KOMIR150_NC	0.018581935453643304	0.019864637514527637
mouse_198_KOMIR150_C	0.01770812161277025	0.017378277802678564
mouse_198_KOMIR150_NC	0.018134744053059232	0.018376291399116205
mouse_206_KOMIR150_C	0.0232113150864265	0.02917090572016131
mouse_206_KOMIR150_NC	0.02210793918754526	0.031532629467778274
mouse_2670_KOTet3_C	0.018660916382828893	0.019074088074540828
mouse_2670_KOTet3_NC	0.018827852155155145	0.019855062102263385
mouse_7530_KOTet3_C	0.0184988187573224	0.018364802052674843
mouse_7530_KOTet3_NC	0.02016666519596312	0.02132665599221618
mouse_7531_KOTet3_C	0.01888671962514359	0.019664436343893196
mouse_7532_WT_NC	0.018474283309093464	0.01839022636260387
mouse_H510_WT_C	0.018591371704782308	0.019789589593016892
mouse_H510_WT_NC	0.017998218434070123	0.018158544429372515
mouse_H514_WT_C	0.01840890677850259	0.018921771861131056
mouse_H514_WT_NC	0.018284711084465482	0.019271856508528053
