Sample	Paired End
mouse_110_WT_C	0.00030000000000000003
mouse_110_WT_NC	0.00030000000000000003
mouse_148_WT_C	0.00025
mouse_148_WT_NC	0.00019999999999999998
mouse_158_WT_C	0.00019999999999999998
mouse_158_WT_NC	0.00015000000000000001
mouse_183_KOMIR150_C	0.00025
mouse_183_KOMIR150_NC	0.000375
mouse_198_KOMIR150_C	0.00030000000000000003
mouse_198_KOMIR150_NC	0.00039999999999999996
mouse_206_KOMIR150_C	0.0007
mouse_206_KOMIR150_NC	0.0005
mouse_2670_KOTet3_C	0.00030000000000000003
mouse_2670_KOTet3_NC	0.000325
mouse_7530_KOTet3_C	0.000375
mouse_7530_KOTet3_NC	0.000225
mouse_7531_KOTet3_C	0.000125
mouse_7532_WT_NC	0.000325
mouse_H510_WT_C	0.00025
mouse_H510_WT_NC	0.000375
mouse_H514_WT_C	0.000275
mouse_H514_WT_NC	0.000225
