Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
mouse_206_KOMIR150_C	(50, 246)	(51, 251)	(52, 224)	(53, 253)	(54, 255)	(55, 263)	(56, 330)	(57, 318)	(58, 396)	(59, 451)	(60, 456)	(61, 509)	(62, 548)	(63, 636)	(64, 617)	(65, 715)	(66, 671)	(67, 773)	(68, 1016)	(69, 988)	(70, 1120)	(71, 1297)	(72, 1391)	(73, 1527)	(74, 1495)	(75, 1589)	(76, 1752)	(77, 1960)	(78, 2145)	(79, 2364)	(80, 2564)	(81, 2859)	(82, 3313)	(83, 3486)	(84, 3518)	(85, 3766)	(86, 4122)	(87, 4374)	(88, 4737)	(89, 5125)	(90, 5836)	(91, 6563)	(92, 6894)	(93, 7369)	(94, 7940)	(95, 8424)	(96, 9274)	(97, 10575)	(98, 16203)	(99, 18222)	(100, 50329)	(101, 1380150)
mouse_206_KOMIR150_NC	(50, 240)	(51, 288)	(52, 324)	(53, 327)	(54, 308)	(55, 355)	(56, 394)	(57, 413)	(58, 436)	(59, 449)	(60, 491)	(61, 482)	(62, 579)	(63, 604)	(64, 662)	(65, 698)	(66, 655)	(67, 814)	(68, 906)	(69, 950)	(70, 1052)	(71, 1143)	(72, 1215)	(73, 1300)	(74, 1365)	(75, 1468)	(76, 1617)	(77, 1668)	(78, 1894)	(79, 2085)	(80, 2293)	(81, 2560)	(82, 2789)	(83, 2952)	(84, 3228)	(85, 3300)	(86, 3435)	(87, 3740)	(88, 4145)	(89, 4561)	(90, 5065)	(91, 5500)	(92, 5958)	(93, 6118)	(94, 6584)	(95, 6964)	(96, 7690)	(97, 8687)	(98, 12635)	(99, 13744)	(100, 36996)	(101, 1015353)
mouse_2670_KOTet3_C	(50, 282)	(51, 304)	(52, 344)	(53, 361)	(54, 391)	(55, 415)	(56, 472)	(57, 535)	(58, 630)	(59, 695)	(60, 803)	(61, 838)	(62, 929)	(63, 1005)	(64, 1070)	(65, 1189)	(66, 1260)	(67, 1520)	(68, 1667)	(69, 1822)	(70, 1978)	(71, 2194)	(72, 2521)	(73, 2784)	(74, 2892)	(75, 3099)	(76, 3333)	(77, 3632)	(78, 4045)	(79, 4495)	(80, 4886)	(81, 5656)	(82, 6134)	(83, 6565)	(84, 7024)	(85, 7482)	(86, 7668)	(87, 8395)	(88, 9162)	(89, 10057)	(90, 11209)	(91, 12320)	(92, 13460)	(93, 14252)	(94, 14998)	(95, 16025)	(96, 17195)	(97, 19317)	(98, 28495)	(99, 31612)	(100, 90853)	(101, 2689298)
mouse_2670_KOTet3_NC	(50, 252)	(51, 285)	(52, 322)	(53, 283)	(54, 317)	(55, 416)	(56, 422)	(57, 463)	(58, 548)	(59, 669)	(60, 760)	(61, 842)	(62, 880)	(63, 938)	(64, 1009)	(65, 1107)	(66, 1175)	(67, 1348)	(68, 1492)	(69, 1719)	(70, 1874)	(71, 1992)	(72, 2350)	(73, 2453)	(74, 2699)	(75, 2790)	(76, 3067)	(77, 3249)	(78, 3645)	(79, 4080)	(80, 4643)	(81, 5170)	(82, 5732)	(83, 6123)	(84, 6441)	(85, 6877)	(86, 7193)	(87, 7922)	(88, 8338)	(89, 9464)	(90, 10370)	(91, 11306)	(92, 12258)	(93, 13116)	(94, 14003)	(95, 15041)	(96, 16374)	(97, 18579)	(98, 28200)	(99, 30620)	(100, 90844)	(101, 2760898)
mouse_7530_KOTet3_C	(50, 264)	(51, 275)	(52, 326)	(53, 350)	(54, 377)	(55, 388)	(56, 481)	(57, 565)	(58, 607)	(59, 690)	(60, 731)	(61, 821)	(62, 859)	(63, 961)	(64, 1081)	(65, 1183)	(66, 1169)	(67, 1332)	(68, 1546)	(69, 1785)	(70, 2005)	(71, 2236)	(72, 2437)	(73, 2676)	(74, 2915)	(75, 3060)	(76, 3188)	(77, 3504)	(78, 3869)	(79, 4322)	(80, 4846)	(81, 5483)	(82, 6131)	(83, 6577)	(84, 6919)	(85, 7494)	(86, 7754)	(87, 8198)	(88, 9031)	(89, 9796)	(90, 11024)	(91, 12340)	(92, 13233)	(93, 13852)	(94, 14782)	(95, 15993)	(96, 17051)	(97, 18868)	(98, 27499)	(99, 29798)	(100, 81456)	(101, 2484331)
mouse_7530_KOTet3_NC	(50, 288)	(51, 286)	(52, 338)	(53, 332)	(54, 357)	(55, 389)	(56, 494)	(57, 591)	(58, 599)	(59, 674)	(60, 719)	(61, 848)	(62, 927)	(63, 994)	(64, 1059)	(65, 1115)	(66, 1308)	(67, 1377)	(68, 1582)	(69, 1769)	(70, 1987)	(71, 2170)	(72, 2399)	(73, 2622)	(74, 2840)	(75, 3004)	(76, 3240)	(77, 3528)	(78, 3875)	(79, 4354)	(80, 4766)	(81, 5504)	(82, 6024)	(83, 6493)	(84, 6733)	(85, 7108)	(86, 7424)	(87, 8417)	(88, 9072)	(89, 9875)	(90, 11168)	(91, 12098)	(92, 12935)	(93, 13808)	(94, 15045)	(95, 15838)	(96, 17295)	(97, 19497)	(98, 30214)	(99, 32689)	(100, 105135)	(101, 2782095)
mouse_7531_KOTet3_C	(50, 281)	(51, 324)	(52, 349)	(53, 340)	(54, 402)	(55, 438)	(56, 522)	(57, 561)	(58, 583)	(59, 716)	(60, 758)	(61, 839)	(62, 922)	(63, 989)	(64, 1079)	(65, 1160)	(66, 1267)	(67, 1460)	(68, 1604)	(69, 1751)	(70, 2019)	(71, 2278)	(72, 2577)	(73, 2727)	(74, 2927)	(75, 3126)	(76, 3298)	(77, 3657)	(78, 3965)	(79, 4693)	(80, 5121)	(81, 5540)	(82, 6334)	(83, 6732)	(84, 7125)	(85, 7346)	(86, 7889)	(87, 8499)	(88, 9293)	(89, 10086)	(90, 11342)	(91, 12610)	(92, 13332)	(93, 14456)	(94, 15246)	(95, 16420)	(96, 17424)	(97, 19497)	(98, 28416)	(99, 31299)	(100, 91398)	(101, 2601543)
mouse_7532_WT_NC	(50, 297)	(51, 354)	(52, 380)	(53, 346)	(54, 435)	(55, 442)	(56, 511)	(57, 562)	(58, 654)	(59, 760)	(60, 847)	(61, 986)	(62, 1005)	(63, 1091)	(64, 1165)	(65, 1219)	(66, 1323)	(67, 1511)	(68, 1685)	(69, 1993)	(70, 2151)	(71, 2337)	(72, 2570)	(73, 2963)	(74, 2952)	(75, 3179)	(76, 3382)	(77, 3732)	(78, 4152)	(79, 4599)	(80, 5241)	(81, 5925)	(82, 6324)	(83, 6863)	(84, 7210)	(85, 7452)	(86, 7787)	(87, 8483)	(88, 9336)	(89, 10156)	(90, 11462)	(91, 12706)	(92, 13758)	(93, 14431)	(94, 15461)	(95, 16246)	(96, 17682)	(97, 19478)	(98, 28541)	(99, 31432)	(100, 84120)	(101, 2659359)
mouse_H510_WT_C	(50, 255)	(51, 290)	(52, 327)	(53, 322)	(54, 375)	(55, 401)	(56, 446)	(57, 478)	(58, 606)	(59, 661)	(60, 766)	(61, 862)	(62, 907)	(63, 958)	(64, 1053)	(65, 1163)	(66, 1281)	(67, 1367)	(68, 1516)	(69, 1695)	(70, 2021)	(71, 2273)	(72, 2469)	(73, 2575)	(74, 2831)	(75, 3046)	(76, 3180)	(77, 3480)	(78, 3974)	(79, 4201)	(80, 4706)	(81, 5352)	(82, 5879)	(83, 6298)	(84, 6575)	(85, 6955)	(86, 7411)	(87, 8054)	(88, 8679)	(89, 9521)	(90, 10393)	(91, 11572)	(92, 12495)	(93, 13033)	(94, 14013)	(95, 15133)	(96, 16253)	(97, 18316)	(98, 26461)	(99, 29294)	(100, 79280)	(101, 2485617)
mouse_H510_WT_NC	(50, 306)	(51, 318)	(52, 328)	(53, 321)	(54, 334)	(55, 390)	(56, 484)	(57, 522)	(58, 558)	(59, 683)	(60, 720)	(61, 768)	(62, 861)	(63, 913)	(64, 997)	(65, 1065)	(66, 1188)	(67, 1263)	(68, 1417)	(69, 1559)	(70, 1743)	(71, 2046)	(72, 2264)	(73, 2440)	(74, 2460)	(75, 2678)	(76, 2817)	(77, 3121)	(78, 3502)	(79, 3895)	(80, 4389)	(81, 4912)	(82, 5389)	(83, 5695)	(84, 5980)	(85, 6652)	(86, 6757)	(87, 7218)	(88, 8066)	(89, 8770)	(90, 9886)	(91, 10819)	(92, 11768)	(93, 12323)	(94, 13361)	(95, 14230)	(96, 15429)	(97, 17644)	(98, 26807)	(99, 29060)	(100, 83370)	(101, 2779051)
mouse_H514_WT_C	(50, 483)	(51, 544)	(52, 548)	(53, 490)	(54, 534)	(55, 565)	(56, 648)	(57, 699)	(58, 824)	(59, 880)	(60, 1026)	(61, 1079)	(62, 1143)	(63, 1255)	(64, 1313)	(65, 1475)	(66, 1449)	(67, 1683)	(68, 1808)	(69, 2095)	(70, 2408)	(71, 2507)	(72, 2744)	(73, 3039)	(74, 3104)	(75, 3365)	(76, 3711)	(77, 3856)	(78, 4253)	(79, 4843)	(80, 5454)	(81, 5907)	(82, 6499)	(83, 6852)	(84, 7261)	(85, 7568)	(86, 7906)	(87, 8403)	(88, 9142)	(89, 10215)	(90, 11073)	(91, 12098)	(92, 13204)	(93, 13805)	(94, 14347)	(95, 15569)	(96, 16348)	(97, 18121)	(98, 25845)	(99, 28464)	(100, 73737)	(101, 2239617)
mouse_H514_WT_NC	(50, 257)	(51, 285)	(52, 262)	(53, 308)	(54, 313)	(55, 335)	(56, 389)	(57, 513)	(58, 463)	(59, 652)	(60, 642)	(61, 799)	(62, 791)	(63, 903)	(64, 939)	(65, 1015)	(66, 1113)	(67, 1232)	(68, 1386)	(69, 1627)	(70, 1864)	(71, 2001)	(72, 2256)	(73, 2545)	(74, 2579)	(75, 2776)	(76, 3020)	(77, 3259)	(78, 3682)	(79, 4018)	(80, 4710)	(81, 5188)	(82, 5713)	(83, 6252)	(84, 6509)	(85, 7022)	(86, 7433)	(87, 7988)	(88, 8555)	(89, 9445)	(90, 10445)	(91, 11592)	(92, 12591)	(93, 13174)	(94, 14318)	(95, 15152)	(96, 16464)	(97, 18350)	(98, 27813)	(99, 30425)	(100, 84454)	(101, 2659600)
